Month,Total,"Men, 20 years and over","Women, 20 years and over",16 to 19 years old,White,Black or African American,Asian,Hispanic or Latino
2011-05-01,9,8.8,8,23.9,7.9,16.3,7.2,11.6
2011-06-01,9.1,9,8,24.5,8.1,16.2,6.5,11.5
2011-07-01,9,8.8,7.9,24.7,8,15.9,7.4,11.2
2011-08-01,9,8.7,7.9,25,7.9,16.4,7.2,11.2
2011-09-01,9,8.7,8.2,24.4,7.9,15.9,8,11.2
2011-10-01,8.8,8.6,7.8,24.2,7.9,14.6,7.4,11.3
2011-11-01,8.6,8.2,7.8,24.2,7.7,15.6,6.4,11.2
2011-12-01,8.5,8,7.8,23.3,7.5,15.4,6.8,11.1
2012-01-01,8.3,7.7,7.6,23.6,7.4,13.6,6.7,10.7
2012-02-01,8.3,7.7,7.6,23.8,7.4,14,6.2,10.9
2012-03-01,8.2,7.7,7.4,24.8,7.3,14,6.4,10.6
2012-04-01,8.2,7.6,7.4,25,7.4,13.3,5.4,10.3
2012-05-01,8.2,7.7,7.4,24.4,7.4,13.5,5.5,10.9
2012-06-01,8.2,7.7,7.4,23.3,7.3,14.5,6.1,10.9
2012-07-01,8.2,7.7,7.4,23.6,7.3,14.2,5.9,10.2
2012-08-01,8.1,7.6,7.3,24.2,7.2,13.8,5.9,10.1
2012-09-01,7.8,7.3,7.1,23.8,7,13.6,4.9,9.7
2012-10-01,7.8,7.2,7.1,23.9,6.9,14.1,4.9,10
2012-11-01,7.7,7.2,7,23.9,6.8,13.3,6.3,9.9
2012-12-01,7.9,7.2,7.4,24.1,6.9,14,6.6,9.6
2013-01-01,8,7.5,7.2,23.7,7.1,13.7,6.4,9.7
2013-02-01,7.7,7,7,25.2,6.8,13.8,6,9.7
2013-03-01,7.5,6.9,6.9,24,6.7,13,5.1,9.3
2013-04-01,7.6,7.2,6.7,24.4,6.7,13.3,5.3,9
2013-05-01,7.5,7.1,6.5,24.4,6.7,13.4,4.5,9
2013-06-01,7.5,7,6.8,23.1,6.6,14.2,4.7,9.1
2013-07-01,7.3,7,6.3,23.3,6.5,12.6,5.3,9.4
2013-08-01,7.2,7.1,6.2,22.5,6.4,12.8,5.1,9.2
2013-09-01,7.2,7.1,6.2,21.3,6.3,13,5.4,8.8
2013-10-01,7.2,6.9,6.3,22.2,6.3,12.8,5.4,9.1
2013-11-01,6.9,6.6,6.2,20.7,6.1,12.3,5.2,8.7
2013-12-01,6.7,6.3,6.1,20.4,5.9,11.9,4.3,8.3
2014-01-01,6.6,6.2,5.8,20.4,5.7,12.1,4.7,8.3
2014-02-01,6.7,6.3,5.9,21.4,5.8,11.8,5.9,8.2
2014-03-01,6.7,6.1,6.2,20.8,5.8,12.1,5.5,7.9
2014-04-01,6.2,5.9,5.6,19.4,5.3,11.6,5.9,7.2
2014-05-01,6.3,5.9,5.8,19.3,5.4,11.4,5.7,7.7
2014-06-01,6.1,5.7,5.3,20.4,5.3,11,4.7,7.8
2014-07-01,6.2,5.7,5.6,20.3,5.3,11.6,4.2,7.7
2014-08-01,6.1,5.7,5.6,19.4,5.3,11.4,4.5,7.4
2014-09-01,5.9,5.3,5.5,20.1,5.1,11,4.4,6.8
2014-10-01,5.7,5.1,5.4,18.7,4.9,10.6,5.1,6.8
2014-11-01,5.8,5.4,5.3,17.2,5,10.9,4.8,6.6
2014-12-01,5.6,5.2,5.1,16.9,4.7,10.6,4.4,6.4
2015-01-01,5.7,5.3,5,18.5,4.9,10.3,4,6.7
2015-02-01,5.5,5.2,4.9,16.9,4.7,10.1,4,6.8
2015-03-01,5.4,5.1,4.9,17.5,4.8,9.9,3.2,6.8
2015-04-01,5.4,5,5,17.2,4.7,9.7,4.4,6.8
2015-05-01,5.6,5.2,5.1,17.8,4.8,10.3,4.1,6.8
2015-06-01,5.3,4.8,4.7,18,4.6,9.7,3.9,6.7
2015-07-01,5.2,4.8,4.8,16.4,4.5,9.1,3.9,6.9
